Date,cumDeaths,cumPplVac,cumInfected,cumRecovered
10/01/2021,85388,2677971,876647,2195702
11/01/2021,86520,2843815,882447,2236071
12/01/2021,87726,3067541,886897,2277154
13/01/2021,88938,3356229,900485,2311091
14/01/2021,90156,3678180,912258,2348000
15/01/2021,91377,4023705,936297,2379722
16/01/2021,92677,4322456,934954,2422407
17/01/2021,93942,4514802,919152,2476807
18/01/2021,95236,4723443,905370,2528124
19/01/2021,96597,5070365,881472,2585377
20/01/2021,97892,5437284,865797,2639957
21/01/2021,99126,5849899,844731,2698915
22/01/2021,100363,6329968,828765,2755142
23/01/2021,101520,6822981,802376,2815083
24/01/2021,102675,7044048,770309,2877154
25/01/2021,103839,7325773,729018,2940640
26/01/2021,104897,7638543,695430,2994316
27/01/2021,106004,7953250,651578,3063476
28/01/2021,107111,8369438,619214,3124520
29/01/2021,108175,8859372,592289,3180524
30/01/2021,109084,9468382,568486,3227602
31/01/2021,109974,9790576,543151,3274025
01/02/2021,110862,10143511,513345,3322438
02/02/2021,111708,10520433,480657,3371966
03/02/2021,112563,10992444,443243,3428582
04/02/2021,113277,11477040,421821,3470638
05/02/2021,114029,11975267,401585,3509988
06/02/2021,114725,12526737,381616,3548219
07/02/2021,115357,12806587,363474,3582206
08/02/2021,116039,13162878,337991,3621793
09/02/2021,116639,13577851,311863,3660285
10/02/2021,117244,14033555,284010,3701151
11/02/2021,117814,14542318,263382,3735273
12/02/2021,118339,15091696,247997,3765802
13/02/2021,118828,15599904,238620,3788486
14/02/2021,119319,15839781,229013,3809065
15/02/2021,119830,16122272,212959,3834884
16/02/2021,120274,16499549,194460,3864008
17/02/2021,120703,16996806,177669,3893516
18/02/2021,121117,17465127,166037,3917205
19/02/2021,121496,17852327,156597,3938672
20/02/2021,121837,18197269,148055,3957620
21/02/2021,122161,18348165,140725,3974784
22/02/2021,122440,18558969,131885,3994265
23/02/2021,122721,18911978,119459,4015180
24/02/2021,122991,19392553,110013,4034564
25/02/2021,123248,19913592,101479,4053083
26/02/2021,123470,20450858,93935,4069150
27/02/2021,123693,20885683,87042,4083477
28/02/2021,123903,21091267,80503,4096051
01/03/2021,124129,21322717,72719,4109290
02/03/2021,124306,21599027,65439,4122961
03/03/2021,124450,21946433,56536,4138249
04/03/2021,124593,22392883,49659,4151699
05/03/2021,124746,22887118,44480,4162824
06/03/2021,124886,23335514,40614,4172729
07/03/2021,125000,23519898,35052,4183468
08/03/2021,125134,23773959,26913,4196319
09/03/2021,125256,24064182,20500,4208498
