# Time, S, I, R, V, D
0.000000000000000000e+00,6.116429200000000000e+07,8.766470000000000000e+05,2.677971000000000000e+06,8.538800000000000000e+04,0.000000000000000000e+00
1.000000000000000000e+00,6.096155968421319127e+07,8.671564006351225544e+05,2.872756013835620135e+06,9.410695065801894816e+04,1.000000000000000000e+00
2.000000000000000000e+00,6.069752150130612403e+07,8.577387823942659888e+05,3.128962985900993459e+06,1.027313651992916857e+05,2.000000000000000000e+00
3.000000000000000000e+00,6.038449338572149724e+07,8.483864018746787915e+05,3.434282334303263109e+06,1.112619390502414171e+05,3.000000000000000000e+00
4.000000000000000000e+00,6.004317233720945567e+07,8.390948677460921463e+05,3.768020201691424474e+06,1.196992966764729499e+05,4.000000000000000000e+00
5.000000000000000000e+00,5.971357745149212331e+07,8.298624575121989474e+05,4.090158036417019553e+06,1.280440272892725770e+05,5.000000000000000000e+00
6.000000000000000000e+00,5.946069093170200288e+07,8.206950383584124502e+05,4.335706516885475256e+06,1.362967565269887273e+05,6.000000000000000000e+00
7.000000000000000000e+00,5.925296687210571766e+07,8.116028534181759460e+05,4.536199916576356627e+06,1.444581789498121361e+05,7.000000000000000000e+00
8.000000000000000000e+00,5.896806274419816583e+07,8.025837148046185030e+05,4.813981428130606189e+06,1.525290564332416980e+05,8.000000000000000000e+00
9.000000000000000000e+00,5.860413932961504906e+07,7.936246239242663141e+05,5.170901945623012260e+06,1.605100504187695915e+05,9.000000000000000000e+00
1.000000000000000000e+01,5.820749200053831190e+07,7.847213766397974687e+05,5.560669151460986584e+06,1.684017356803805742e+05,1.000000000000000000e+01
1.100000000000000000e+01,5.775439642487045377e+07,7.758691245719874278e+05,6.007011159748801030e+06,1.762046454043080448e+05,1.100000000000000000e+01
1.200000000000000000e+01,5.726123340635930002e+07,7.670617833873595810e+05,6.493552285419723019e+06,1.839192624167341855e+05,1.200000000000000000e+01
1.300000000000000000e+01,5.689769980021727085e+07,7.583019108669915004e+05,6.850592247802984901e+06,1.915460205563024210e+05,1.300000000000000000e+01
1.400000000000000000e+01,5.663991470407279581e+07,7.496119677204628242e+05,7.101988273746953346e+06,1.990855272298245982e+05,1.400000000000000000e+01
1.500000000000000000e+01,5.633638329978606105e+07,7.409901587025327608e+05,7.399235581134065054e+06,2.065384801885968773e+05,1.500000000000000000e+01
1.600000000000000000e+01,5.601646774823491275e+07,7.324330373184949858e+05,7.712974129197529517e+06,2.139055426244477276e+05,1.600000000000000000e+01
1.700000000000000000e+01,5.564495080164714903e+07,7.239387270679487847e+05,8.078421773744852282e+06,2.211873487699477992e+05,1.700000000000000000e+01
1.800000000000000000e+01,5.518593605870991200e+07,7.154982100925061386e+05,8.531482754880748689e+06,2.283844881583347451e+05,1.800000000000000000e+01
1.900000000000000000e+01,5.463063319218233228e+07,7.071031748043219559e+05,9.080954721989993006e+06,2.354974555116170086e+05,1.900000000000000000e+01
2.000000000000000000e+01,5.415932782545044273e+07,6.987478121097501134e+05,9.546557036525117233e+06,2.425266629573020909e+05,2.000000000000000000e+01
2.100000000000000000e+01,5.381616592520146817e+07,6.904533065302963369e+05,9.884121554025026038e+06,2.494726071215528646e+05,2.100000000000000000e+01
