,cumDeaths,cumPplVac,cumInfected,cumRecovered
10/01/2021,85383,391399,3178367,3092984
11/01/2021,86516,412167,3235574,3149058
12/01/2021,87720,428232,3285024,3197304
13/01/2021,88932,437977,3330470,3241538
14/01/2021,90152,443234,3372898,3282746
15/01/2021,91375,447442,3413349,3321974
16/01/2021,92675,450062,3443901,3351226
17/01/2021,93939,452301,3472780,3378841
18/01/2021,95235,456866,3517625,3422390
19/01/2021,96594,460625,3557169,3460575
20/01/2021,97888,464036,3592334,3494446
21/01/2021,99119,466796,3624049,3524930
22/01/2021,100358,468617,3653658,3553300
23/01/2021,101517,469660,3675519,3574002
24/01/2021,102670,470478,3692716,3590046
25/01/2021,103834,472446,3722705,3618871
26/01/2021,104891,474156,3749745,3644854
27/01/2021,105998,476485,3775491,3669493
28/01/2021,107104,478254,3799606,3692502
29/01/2021,108167,480432,3821431,3713264
30/01/2021,109079,491053,3838116,3729037
31/01/2021,109968,494209,3853554,3743586
01/02/2021,110855,496796,3875976,3765121
02/02/2021,111701,498962,3895802,3784101
03/02/2021,112556,501957,3915267,3802711
04/02/2021,113272,505993,3933300,3820028
05/02/2021,114020,510057,3949213,3835193
06/02/2021,114717,511719,3961191,3846474
07/02/2021,115348,512581,3972607,3857259
08/02/2021,116030,516392,3988403,3872373
09/02/2021,116631,519553,4002259,3885628
10/02/2021,117232,524447,4015798,3898566
11/02/2021,117803,530094,4028577,3910774
12/02/2021,118326,534869,4040768,3922442
13/02/2021,118813,537715,4049550,3930737
14/02/2021,119303,539630,4058335,3939032
15/02/2021,119816,546165,4072654,3952838
16/02/2021,120261,558577,4085164,3964903
17/02/2021,120689,573724,4096759,3976070
18/02/2021,121107,589591,4108188,3987081
19/02/2021,121483,604885,4118619,3997136
20/02/2021,121826,615148,4126696,4004870
21/02/2021,122146,624325,4134598,4012452
22/02/2021,122420,642788,4145930,4023510
23/02/2021,122702,669105,4155370,4032668
24/02/2021,122968,700718,4163927,4040959
25/02/2021,123222,736037,4171691,4048469
26/02/2021,123438,768810,4178298,4054860
27/02/2021,123662,796132,4183136,4059474
28/02/2021,123867,815816,4187882,4064015
01/03/2021,124090,844098,4194824,4070734
02/03/2021,124262,895412,4201497,4077235
03/03/2021,124402,963862,4207511,4083109
04/03/2021,124537,1034068,4213296,4088759
05/03/2021,124676,1090840,4218690,4094014
06/03/2021,124804,1122402,4223183,4098379
07/03/2021,124906,1142643,4227478,4102572
08/03/2021,125036,1181431,4234131,4109095
09/03/2021,125133,1254353,4239729,4114596
10/03/2021,125165,1351515,,
